rate,min_time,package,algorithm,n_arg,r_index,time_setup,date,compiler,debug,language
7.0e+06,0.500,double,det_by_minor,9,0,true,2023-10-14,Clang-16.0.6,false,c++
1.0e+06,0.500,adept,det_by_minor,9,0,true,2023-10-14,Clang-16.0.6,false,c++
3.5e+05,0.500,adolc,det_by_minor,9,0,true,2023-10-14,Clang-16.0.6,false,c++
1.8e+06,0.500,autodiff,det_by_minor,9,0,true,2023-10-14,Clang-16.0.6,false,c++
9.5e+05,0.500,cppad,det_by_minor,9,0,true,2023-10-14,Clang-16.0.6,false,c++
1.9e+01,0.500,cppad_jit,det_by_minor,9,0,true,2023-10-14,Clang-16.0.6,false,c++
5.4e+00,0.500,cppadcg,det_by_minor,9,0,true,2023-10-14,Clang-16.0.6,false,c++
2.6e+06,0.500,sacado,det_by_minor,9,0,true,2023-10-14,Clang-16.0.6,false,c++
1.4e+06,0.500,double,an_ode,9,8,true,2023-10-14,Clang-16.0.6,false,c++
4.1e+04,0.500,adept,an_ode,9,8,true,2023-10-14,Clang-16.0.6,false,c++
2.7e+04,0.500,adolc,an_ode,9,8,true,2023-10-14,Clang-16.0.6,false,c++
1.2e+05,0.500,autodiff,an_ode,9,8,true,2023-10-14,Clang-16.0.6,false,c++
5.5e+04,0.500,cppad,an_ode,9,8,true,2023-10-14,Clang-16.0.6,false,c++
2.3e+00,0.500,cppad_jit,an_ode,9,8,true,2023-10-14,Clang-16.0.6,false,c++
3.5e+00,0.500,cppadcg,an_ode,9,8,true,2023-10-14,Clang-16.0.6,false,c++
4.5e+04,0.500,sacado,an_ode,9,8,true,2023-10-14,Clang-16.0.6,false,c++
1.4e+06,0.500,double,an_ode,9,7,true,2023-10-14,Clang-16.0.6,false,c++
4.3e+04,0.500,adept,an_ode,9,7,true,2023-10-14,Clang-16.0.6,false,c++
2.8e+04,0.500,adolc,an_ode,9,7,true,2023-10-14,Clang-16.0.6,false,c++
1.2e+05,0.500,autodiff,an_ode,9,7,true,2023-10-14,Clang-16.0.6,false,c++
5.7e+04,0.500,cppad,an_ode,9,7,true,2023-10-14,Clang-16.0.6,false,c++
2.6e+00,0.500,cppad_jit,an_ode,9,7,true,2023-10-14,Clang-16.0.6,false,c++
3.8e+00,0.500,cppadcg,an_ode,9,7,true,2023-10-14,Clang-16.0.6,false,c++
5.2e+04,0.500,sacado,an_ode,9,7,true,2023-10-14,Clang-16.0.6,false,c++
7.9e+06,0.500,double,det_by_minor,9,0,false,2023-10-14,Clang-16.0.6,false,c++
1.3e+06,0.500,adept,det_by_minor,9,0,false,2023-10-14,Clang-16.0.6,false,c++
6.8e+05,0.500,adolc,det_by_minor,9,0,false,2023-10-14,Clang-16.0.6,false,c++
1.8e+06,0.500,autodiff,det_by_minor,9,0,false,2023-10-14,Clang-16.0.6,false,c++
3.9e+06,0.500,cppad,det_by_minor,9,0,false,2023-10-14,Clang-16.0.6,false,c++
9.4e+06,0.500,cppad_jit,det_by_minor,9,0,false,2023-10-14,Clang-16.0.6,false,c++
8.7e+06,0.500,cppadcg,det_by_minor,9,0,false,2023-10-14,Clang-16.0.6,false,c++
2.6e+06,0.500,sacado,det_by_minor,9,0,false,2023-10-14,Clang-16.0.6,false,c++
1.4e+06,0.500,double,an_ode,9,8,false,2023-10-14,Clang-16.0.6,false,c++
4.3e+04,0.500,adept,an_ode,9,8,false,2023-10-14,Clang-16.0.6,false,c++
1.0e+05,0.500,adolc,an_ode,9,8,false,2023-10-14,Clang-16.0.6,false,c++
1.3e+05,0.500,autodiff,an_ode,9,8,false,2023-10-14,Clang-16.0.6,false,c++
1.9e+05,0.500,cppad,an_ode,9,8,false,2023-10-14,Clang-16.0.6,false,c++
1.2e+06,0.500,cppad_jit,an_ode,9,8,false,2023-10-14,Clang-16.0.6,false,c++
2.9e+06,0.500,cppadcg,an_ode,9,8,false,2023-10-14,Clang-16.0.6,false,c++
5.0e+04,0.500,sacado,an_ode,9,8,false,2023-10-14,Clang-16.0.6,false,c++
1.4e+06,0.500,double,an_ode,9,7,false,2023-10-14,Clang-16.0.6,false,c++
4.4e+04,0.500,adept,an_ode,9,7,false,2023-10-14,Clang-16.0.6,false,c++
1.1e+05,0.500,adolc,an_ode,9,7,false,2023-10-14,Clang-16.0.6,false,c++
1.2e+05,0.500,autodiff,an_ode,9,7,false,2023-10-14,Clang-16.0.6,false,c++
2.0e+05,0.500,cppad,an_ode,9,7,false,2023-10-14,Clang-16.0.6,false,c++
1.4e+06,0.500,cppad_jit,an_ode,9,7,false,2023-10-14,Clang-16.0.6,false,c++
3.2e+06,0.500,cppadcg,an_ode,9,7,false,2023-10-14,Clang-16.0.6,false,c++
4.9e+04,0.500,sacado,an_ode,9,7,false,2023-10-14,Clang-16.0.6,false,c++
