rate,min_time,package,algorithm,n_arg,r_index,time_setup,date,compiler,debug,language
2.0e+05,0.5,double,det_by_minor,9,0,true,2023-10-14,CPython-3.11.5,,python
2.5e+03,0.5,autograd,det_by_minor,9,0,true,2023-10-14,CPython-3.11.5,false,python
1.7e+04,0.5,cppad_py,det_by_minor,9,0,true,2023-10-14,CPython-3.11.5,false,python
1.2e+04,0.5,double,an_ode,9,8,true,2023-10-14,CPython-3.11.5,,python
4.5e+01,0.5,autograd,an_ode,9,8,true,2023-10-14,CPython-3.11.5,false,python
1.3e+03,0.5,cppad_py,an_ode,9,8,true,2023-10-14,CPython-3.11.5,false,python
1.2e+04,0.5,double,an_ode,9,8,true,2023-10-14,CPython-3.11.5,,python
4.4e+01,0.5,autograd,an_ode,9,8,true,2023-10-14,CPython-3.11.5,false,python
1.3e+03,0.5,cppad_py,an_ode,9,8,true,2023-10-14,CPython-3.11.5,false,python
2.4e+05,0.5,double,det_by_minor,9,0,false,2023-10-14,CPython-3.11.5,,python
2.6e+03,0.5,autograd,det_by_minor,9,0,false,2023-10-14,CPython-3.11.5,false,python
8.1e+04,0.5,cppad_py,det_by_minor,9,0,false,2023-10-14,CPython-3.11.5,false,python
1.2e+04,0.5,double,an_ode,9,8,false,2023-10-14,CPython-3.11.5,,python
4.5e+01,0.5,autograd,an_ode,9,8,false,2023-10-14,CPython-3.11.5,false,python
5.2e+04,0.5,cppad_py,an_ode,9,8,false,2023-10-14,CPython-3.11.5,false,python
1.2e+04,0.5,double,an_ode,9,8,false,2023-10-14,CPython-3.11.5,,python
4.5e+01,0.5,autograd,an_ode,9,8,false,2023-10-14,CPython-3.11.5,false,python
5.2e+04,0.5,cppad_py,an_ode,9,8,false,2023-10-14,CPython-3.11.5,false,python
