rate,min_time,package,algorithm,n_arg,time_setup,date,compiler,debug
8.7e+05,0.500,double,det_by_minor,5,true,2023-8-29,GNU-13.2.1,false
7.7e+05,0.500,double,det_by_minor,5,false,2023-8-29,GNU-13.2.1,false
5.3e+04,0.500,adolc,det_by_minor,5,true,2023-8-29,GNU-13.2.1,false
1.8e+05,0.500,adolc,det_by_minor,5,false,2023-8-29,GNU-13.2.1,false
4.5e+04,0.500,autodiff,det_by_minor,5,true,2023-8-29,GNU-13.2.1,false
4.3e+04,0.500,autodiff,det_by_minor,5,false,2023-8-29,GNU-13.2.1,false
1.5e+05,0.500,cppad,det_by_minor,5,true,2023-8-29,GNU-13.2.1,false
8.8e+05,0.500,cppad,det_by_minor,5,false,2023-8-29,GNU-13.2.1,false
3.6e+00,0.500,cppad_jit,det_by_minor,5,true,2023-8-29,GNU-13.2.1,false
2.9e+06,0.500,cppad_jit,det_by_minor,5,false,2023-8-29,GNU-13.2.1,false
4.1e+00,0.500,cppadcg,det_by_minor,5,true,2023-8-29,GNU-13.2.1,false
3.1e+06,0.500,cppadcg,det_by_minor,5,false,2023-8-29,GNU-13.2.1,false
1.1e+05,0.500,sacado,det_by_minor,5,true,2023-8-29,GNU-13.2.1,false
1.0e+05,0.500,sacado,det_by_minor,5,false,2023-8-29,GNU-13.2.1,false
