rate,min_time,package,algorithm,n_arg,n_other,time_setup,date,compiler,debug,language,special
7.9e+06,0.500,none,det_by_minor,9,0,true,2024-5-25,GNU-13.2.1,false,c++,false
2.1e+05,0.5,none,det_by_minor,9,0,true,2024-05-25,CPython-3.11.9,,python,false
1.3e+06,0.500,adept,det_by_minor,9,0,true,2024-5-25,GNU-13.2.1,false,c++,false
3.1e+05,0.500,adolc,det_by_minor,9,0,true,2024-5-25,GNU-13.2.1,false,c++,false
1.9e+06,0.500,autodiff,det_by_minor,9,0,true,2024-5-25,GNU-13.2.1,false,c++,false
8.6e+05,0.500,cppad,det_by_minor,9,0,true,2024-5-25,GNU-13.2.1,false,c++,false
2.7e+01,0.500,cppad_jit,det_by_minor,9,0,true,2024-5-25,GNU-13.2.1,false,c++,false
9.3e+00,0.500,cppadcg,det_by_minor,9,0,true,2024-5-25,GNU-13.2.1,false,c++,false
2.3e+06,0.500,sacado,det_by_minor,9,0,true,2024-5-25,GNU-13.2.1,false,c++,false
2.6e+03,0.5,autograd,det_by_minor,9,0,true,2024-05-25,CPython-3.11.9,,python,false
1.1e+04,0.5,cppad_py,det_by_minor,9,0,true,2024-05-25,CPython-3.11.9,False,python,false
1.0e+02,0.5,jax,det_by_minor,9,0,true,2024-05-25,CPython-3.11.9,,python,false
